Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
151,0,2.0,2,45000.0
151,2,20.0,0,150000.0
151,3,12.0,0,166500.0
151,3,20.0,0,112000.0
43,3,9.0,0,6000.0
48,2,5.0,0,70264.0
62,0,2.0,0,39093.0
151,0,2.0,2,2000000.0
151,0,4.0,0,90000.0
50,2,7.0,0,46915.0
58,0,8.0,0,29436.0
28,1,16.0,0,75631.0
149,1,1.0,0,25852.0
151,3,14.0,0,55000.0
151,3,10.0,0,118000.0
151,2,2.0,0,120000.0
36,0,2.0,2,14544.0
151,0,0.5,0,52000.0
149,2,2.0,0,38778.0
149,0,7.0,0,68184.0
28,1,27.0,0,75631.0
151,0,32.0,0,170000.0
151,3,50.0,2,250000.0
151,2,6.0,0,130000.0
62,0,8.0,0,30716.0
151,1,3.0,0,2000000.0
112,0,40.0,2,36444.0
151,2,20.0,0,350000.0
28,0,5.0,0,109665.0
50,0,2.0,2,2592.0
151,0,3.0,0,115000.0
151,0,4.0,0,170000.0
149,1,10.0,0,116333.0
110,0,2.0,0,3300.0
48,1,19.0,2,129720.0
151,0,5.0,0,85000.0
151,0,20.0,0,120000.0
151,0,5.0,0,130000.0
151,0,13.0,0,64000.0
149,0,8.0,0,620448.0
151,2,11.0,0,195000.0
151,1,33.0,0,500000.0
151,3,5.0,0,55000.0
151,0,15.0,0,142000.0
62,1,2.0,0,3852.0
28,0,2.0,0,52942.0
39,3,28.0,2,138936.0
151,2,25.0,0,175000.0
151,0,20.0,0,120000.0
80,0,2.0,0,13092.0
151,0,23.0,0,83500.0
22,1,3.0,0,11820.0
146,0,3.0,2,4584.0
151,1,3.0,0,52000.0
69,1,11.0,0,48644.0
131,3,6.0,0,43239.0
151,0,10.0,0,200000.0
50,2,1.0,0,38915.0
105,1,11.0,2,107895.0
131,2,4.0,0,35672.0
151,1,5.0,0,95000.0
15,0,22.0,0,75669.0
151,0,4.0,0,90000.0
151,2,13.0,0,130000.0
149,0,25.0,2,168037.0
